platform,referral link,brand,price,discount,commission,Start date,End date,affilate_page_internal_link
amazon associates,https://www.amazon.com/dp/B0BJFKRL2X?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576769576,Boll & Branch,339,,10,"Sep 10, 2025 09:59 GMT+33","Apr 25, 2026 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD2
amazon associates,https://www.amazon.com/dp/B0BHZPLNL2?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577212741,Boll & Branch,339,,10,"Sep 10, 2025 09:59 GMT+34","Apr 25, 2026 09:59 GMT+24",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD23
amazon associates,https://www.amazon.com/dp/B0DWQYRMY4?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576997709,Boll & Branch,349,,10,"Sep 10, 2025 09:59 GMT+35","Apr 25, 2026 09:59 GMT+12",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD11
amazon associates,https://www.amazon.com/dp/B0BJFNXKX3?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577054558,Boll & Branch,379,,10,"Sep 10, 2025 09:59 GMT+36","Apr 25, 2026 09:59 GMT+17",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD16
amazon associates,https://www.amazon.com/dp/B0DK9RHF5G?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577100141,Boll & Branch,395,,10,"Sep 10, 2025 09:59 GMT+37","Apr 25, 2026 09:59 GMT+18",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD17
amazon associates,https://www.amazon.com/dp/B0DK9SP9RF?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576868927,Boll & Branch,433,,10,"Sep 10, 2025 09:59 GMT+38","Apr 25, 2026 09:59 GMT+5",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD4
amazon associates,https://www.amazon.com/dp/B0DTBX7DFX?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576896675,Boll & Branch,449,,10,"Sep 10, 2025 09:59 GMT+39","Apr 25, 2026 09:59 GMT+7",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD6
amazon associates,https://www.amazon.com/dp/B0BJFNKWV9?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576914942,Boll & Branch,459,,10,"Sep 10, 2025 09:59 GMT+40","Apr 25, 2026 09:59 GMT+8",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD7
amazon associates,https://www.amazon.com/dp/B0DPXZT64R?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577153127,Boll & Branch,492,,10,"Sep 10, 2025 09:59 GMT+41","Apr 25, 2026 09:59 GMT+21",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD20
amazon associates,https://www.amazon.com/dp/B0DPXYNNJX?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577162492,Boll & Branch,530,,10,"Sep 10, 2025 09:59 GMT+42","Apr 25, 2026 09:59 GMT+22",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD21
amazon associates,https://www.amazon.com/dp/B0DK9P79WS?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577043695,Boll & Branch,548,,10,"Sep 10, 2025 09:59 GMT+43","Apr 25, 2026 09:59 GMT+16",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD15
amazon associates,https://www.amazon.com/dp/B0DVTDRJ6V?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577130425,Boll & Branch,652,,10,"Sep 10, 2025 09:59 GMT+44","Apr 25, 2026 09:59 GMT+20",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD19
amazon associates,https://www.amazon.com/dp/B0DK9R56CQ?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576978175,Boll & Branch,709,,10,"Sep 10, 2025 09:59 GMT+45","Apr 25, 2026 09:59 GMT+11",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD10
