retailer,brand,title,asin,price_king,price_twin,price_queen,price_cal_king,rating,review_count,material,thread_count,pattern,style,theme,seasons,pocket_depth,included_components,pillowcases,unit_count,item_dimensions,item_weight,fit,features,color_selected,size_selected,availability,returns,ships_from,sold_by,closure_type,short_name,referral_link
Amazon,Bamboo Bay,"Bamboo Bay 4 Piece King Size Sheet Set, 100% Viscose Made from Bamboo, Breathable, Ultra Soft Cooling Bed Sheets for Hot Sleepers, Beddings with Deep Pockets Fit 16"" Mattress, White",B08M9SMVSG,114.99,97.98,107.99,117.98,4.4,709,Viscose made from Bamboo,300.0,Solid,Modern,Solid,All; Fall; Spring; Summer,"Fits 16"" mattress",1x King Fitted Sheet; 1x King Flat Sheet; 2x King Pillowcases,2.0,4,11x9x5 in,5.5 lb,Deep pocket,Breathable; Deep Pocket; Fade Resistant; Shrink Resistant; Wrinkle Resistant,01 - White,King,In Stock,Free Returns,Amazon,Bamboo Bay,Envelope,Bamboo Bay 4-Piece King Sheet Set,https://amazon.com/dp/B08M9SP3F8?maas=maas_adg_api_577243876468331688_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_lntD3Kkxwyg1nFqRjx&aa_adgroupid=lv_EX0nX0HiuY5d9BJ4at&aa_creativeid=lv_LSyQgrrz9fya59ZBSi&m=A1AXL20TGZNU1I
Amazon,Bare Home,"10 Twin XL Fitted Bottom Sheets 100% Cotton Velvet Flannel - Extra Soft Heavyweight - Great for Adjustable Split King Beds - Deep Pocket (Split King, Dark Blue)",B079TH5HL3,,,,,4.4,5527,Flannel,,Solid,,,,"Fits up to 15"" mattress","10x Twin XL Fitted Sheets (39"" x 80"" x 15"" pocket)",,10,"80""L x 39""W",16.63 lb,Deep pocket; fully elasticized,100% Double Brushed Cotton Flannel; Extra Soft Heavyweight; Machine Washable; Warm; Great for Adjustable Split King Beds,06 - Dark Blue,5 Pack - Split King,In Stock,30-day refund/replacement,Bare Home,Bare Home,,Bare Home Flannel Split King 10‑Pack (Twin XL),https://www.amazon.com/dp/B079TH5HL3?maas=maas_adg_api_585469917187664326_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_70EBarMzHWsfTsY9Ao&aa_adgroupid=lv_A0oc1dsRPL1Uvzo7rD&aa_creativeid=lv_BYyssizlEfuNtT6Jok&m=A3UBXJ2R9SZ9Z4
Amazon,California Design Den,100% Egyptian Cotton Percale Bundle - 6 Piece California King Size Sheet Set with 4 Pillowcases - Beige,B0DZT7NYRY,,,,157.99,,,100% Certified Egyptian Cotton,,Solid,Percale,,All-season,"Elastic fits 8"" to 16"" mattresses","1x Flat Sheet (108""W x 106""L); 1x Fitted Sheet (72""W x 84""L); 4x King Pillowcases (21""W x 36""L)",4.0,6,,,All-around elastic; deep pocket,Authentic Egyptian cotton; Crisp percale weave; OEKO-TEX Standard 100 certified; Durable; Wrinkle-resistant; Fade- and pill-resistant; Machine washable,Beige,California King (6-piece bundle),In Stock,30-day refund/replacement,Amazon,California Design Den,Envelope (pillowcases),California Design Den 6‑Piece Percale (Cal King),https://www.amazon.com/dp/B0DZT7NYRY?maas=maas_adg_api_584724442338921539_static_9_129&ref_=aa_maas&tag=maas&aa_campaignid=lv_ob9yDNldICiqbxrbnn&aa_adgroupid=lv_NqmWqr4wlf1PB8gNMF&aa_creativeid=lv_Wp1O0Rcu7UBYykowsX&m=AXT11B3W0G30N
